Timestamp,Temperature,Humidity,CO2 Value,Air Quality
2024-02-28 20:27:56,27.0,37.9,224,High Quality
2024-02-28 20:28:26,27.0,38.1,224,High Quality
2024-02-28 20:28:56,26.9,38.0,224,High Quality
2024-02-28 20:29:26,26.9,38.2,224,High Quality
2024-02-28 20:29:56,26.9,38.2,237,High Quality
2024-02-28 20:30:26,26.9,38.2,224,High Quality
2024-02-28 20:30:56,26.9,38.2,236,High Quality
2024-02-28 20:31:26,26.8,38.1,325,High Quality
2024-02-28 20:31:56,26.8,43.6,316,High Quality
2024-02-28 20:32:26,26.9,42.2,320,High Quality
2024-02-28 20:32:56,27.1,41.3,273,Bad Quality
2024-02-28 20:33:26,27.2,39.8,352,Bad Quality
2024-02-28 20:33:56,27.3,41.3,296,High Quality
2024-02-28 20:34:26,27.2,43.3,312,High Quality
2024-02-28 20:34:56,27.2,40.0,281,High Quality
2024-02-28 20:35:26,27.1,38.5,256,High Quality
2024-02-28 20:35:56,26.9,38.8,264,High Quality
2024-02-28 20:36:26,26.9,38.9,246,High Quality
2024-02-28 20:36:56,26.8,38.5,246,High Quality
2024-02-28 20:37:26,26.7,38.8,245,High Quality
2024-02-28 20:37:56,26.7,39.4,243,High Quality
2024-02-28 20:38:26,26.7,39.0,257,High Quality
2024-02-28 20:38:56,26.8,39.9,240,High Quality
2024-02-28 20:39:26,26.8,39.0,238,High Quality
2024-02-28 20:39:56,26.7,38.6,253,High Quality
2024-02-28 20:40:26,26.7,38.7,237,High Quality
2024-02-28 20:40:56,26.7,38.7,252,High Quality
2024-02-28 20:41:26,26.7,38.6,249,High Quality
2024-02-28 20:41:56,26.7,38.5,235,High Quality
2024-02-28 20:42:26,26.8,38.5,248,High Quality
2024-02-28 20:42:56,26.8,38.4,234,High Quality
2024-02-28 20:43:26,26.8,38.3,234,High Quality
2024-02-28 20:43:56,26.9,38.2,247,High Quality
2024-02-28 20:44:26,26.9,38.0,233,High Quality
2024-02-28 20:44:56,26.9,38.2,230,High Quality
2024-02-28 20:45:26,26.9,38.1,246,High Quality
2024-02-28 20:45:56,26.9,38.1,230,High Quality
2024-02-28 20:46:26,26.9,38.1,230,High Quality
2024-02-28 20:46:56,26.9,38.0,230,High Quality
2024-02-28 20:47:26,26.9,38.1,229,High Quality
2024-02-28 20:47:56,26.9,38.0,229,High Quality
2024-02-28 20:48:26,26.9,38.0,243,High Quality
2024-02-28 20:48:56,26.9,37.9,229,High Quality
2024-02-28 20:49:26,26.9,38.0,243,High Quality
2024-02-28 20:49:56,26.9,37.9,243,High Quality
2024-02-28 20:50:26,26.9,38.1,228,High Quality
2024-02-28 20:50:56,26.9,37.9,242,High Quality
2024-02-28 20:51:26,26.9,38.0,226,High Quality
2024-02-28 20:51:56,26.8,38.0,226,High Quality
2024-02-28 20:52:26,26.8,38.0,276,High Quality
2024-02-28 20:52:56,26.9,39.6,258,High Quality
2024-02-28 20:53:26,27.0,39.0,272,High Quality
2024-02-28 20:53:56,27.0,38.5,256,High Quality
2024-02-28 20:54:26,26.9,38.7,267,High Quality
2024-02-28 20:54:56,26.9,39.1,267,High Quality
2024-02-28 20:55:26,26.9,39.0,267,High Quality
2024-02-28 20:55:56,26.9,39.4,272,High Quality
2024-02-28 20:56:26,26.9,39.3,272,High Quality
2024-02-28 20:56:56,27.0,39.4,277,High Quality
2024-02-28 20:57:26,27.0,40.2,289,High Quality
2024-02-28 20:57:56,27.1,41.5,293,High Quality
2024-02-28 20:58:26,27.1,41.6,276,High Quality
2024-02-28 20:58:56,27.1,42.5,276,High Quality
