2024-02-27 11:34:48, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:34:50, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:34:52, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:34:54, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:34:56, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:34:59, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:35:01, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:35:03, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:05, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:07, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:09, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:11, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:13, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:15, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:17, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:19, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:22, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:24, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:26, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:28, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:30, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:32, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:34, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:36, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:38, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:40, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:42, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:35:44, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:35:46, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:35:48, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:35:51, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:35:53, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:35:55, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:35:57, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:35:59, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:36:01, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:36:03, Temperature: 25.0, Humidity: 38.7
2024-02-27 11:36:05, Temperature: 25.0, Humidity: 38.7
2024-02-27 11:36:07, Temperature: 25.0, Humidity: 38.7
2024-02-27 11:36:09, Temperature: 25.0, Humidity: 38.8
2024-02-27 11:36:11, Temperature: 25.0, Humidity: 38.7
2024-02-27 11:36:13, Temperature: 25.0, Humidity: 38.6
2024-02-27 11:36:15, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:36:18, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:36:20, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:22, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:24, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:26, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:28, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:30, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:32, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:34, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:36, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:38, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:40, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:43, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:36:45, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:47, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:49, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:51, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:53, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:55, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:36:57, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:36:59, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:01, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:03, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:06, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:08, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:10, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:12, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:14, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:16, Temperature: 25.0, Humidity: 38.3
