Time,Temperature,Humidity,CO2,NH3,Nox,Alcohol,Benzene,Smoke
2024-01-13 00:16:53,25.8,38.3,806.3,403.15,161.26,,,
2024-01-13 00:16:56,25.7,37.9,768.4,384.2,153.68,,,
2024-01-13 00:16:58,25.7,37.9,741.9,370.95,148.38,,,
2024-01-13 00:17:00,25.7,37.9,764.5,382.25,152.9,,,
2024-01-13 00:17:03,25.7,38.4,789.9,394.95,157.98,,,
2024-01-13 00:17:05,25.7,38.2,728.3,364.15,145.66,,,
2024-01-13 00:17:07,25.7,38.2,645.8,322.9,129.16,,,
2024-01-13 00:17:09,25.7,41.5,610,305,122,,,
2024-01-13 00:17:12,25.7,43.7,628.7,314.35,125.74,,,
2024-01-13 00:17:14,25.7,41.5,651.5,325.75,130.3,,,
2024-01-13 00:17:16,25.7,40.1,641.1,320.55,128.22,,,
2024-01-13 00:17:18,25.7,39.6,634.3,317.15,126.86,,,
2024-01-13 00:17:21,25.7,38.9,627.6,313.8,125.52,,,
2024-01-13 00:17:25,25.8,38.3,616.2,308.1,123.24,,,
2024-01-13 00:17:28,25.7,38.2,613.1,306.55,122.62,,,
2024-01-13 00:17:32,25.7,38,601.3,300.65,120.26,,,
2024-01-13 00:17:34,25.7,37.9,597.1,298.55,119.42,,,
2024-01-13 00:17:37,25.7,37.8,594.6,297.3,118.92,,,
2024-01-13 00:17:39,25.7,37.7,591,295.5,118.2,,,
2024-01-13 00:17:41,25.7,37.6,587.8,293.9,117.56,,,
2024-01-13 00:17:43,25.7,37.5,585.6,292.8,117.12,,,
2024-01-13 00:17:46,25.7,37.5,582.8,291.4,116.56,,,
2024-01-13 00:17:48,25.7,37.5,580.5,290.25,116.1,,,
2024-01-13 00:17:52,25.7,37.3,580,290,116,,,
2024-01-13 00:17:55,25.6,37.3,580.6,290.3,116.12,,,
2024-01-13 00:17:57,25.7,37.3,577,288.5,115.4,,,
2024-01-13 00:17:59,25.7,37.4,573,286.5,114.6,,,
2024-01-13 00:18:02,25.7,37.4,569.6,284.8,113.92,,,
2024-01-13 00:18:04,25.7,37.5,566.6,283.3,113.32,,,
2024-01-13 00:18:06,25.6,37.5,565.9,282.95,113.18,,,
2024-01-13 00:18:08,25.7,37.5,564,282,112.8,,,
2024-01-13 00:18:11,25.7,37.5,563,281.5,112.6,,,
2024-01-13 00:18:13,25.7,37.4,561.4,280.7,112.28,,,
2024-01-13 00:18:15,25.7,37.4,559.6,279.8,111.92,,,
2024-01-13 00:18:17,25.7,37.4,557.9,278.95,111.58,,,
2024-01-13 00:18:20,25.7,37.5,556,278,111.2,,,
2024-01-13 00:18:22,25.7,37.4,554.2,277.1,110.84,,,
2024-01-13 00:18:24,25.7,37.4,552.3,276.15,110.46,,,
2024-01-13 00:18:27,25.7,37.4,551.2,275.6,110.24,,,
2024-01-13 00:18:29,25.7,37.4,549.6,274.8,109.92,,,
2024-01-13 00:18:31,25.7,37.5,548.3,274.15,109.66,,,
2024-01-13 00:18:33,25.7,37.5,546.4,273.2,109.28,,,
2024-01-13 00:18:36,25.7,37.5,544.9,272.45,108.98,,,
2024-01-13 00:18:38,25.7,37.4,543.7,271.85,108.74,,,
2024-01-13 00:18:40,25.7,37.4,542.3,271.15,108.46,,,
2024-01-13 00:18:42,25.7,37.3,540.9,270.45,108.18,,,
2024-01-13 00:18:45,25.7,37.4,539.5,269.75,107.9,,,
2024-01-13 00:18:49,25.7,37.4,537.2,268.6,107.44,,,
2024-01-13 00:18:51,25.7,37.2,536.1,268.05,107.22,,,
2024-01-13 00:18:54,25.7,37.3,534.8,267.4,106.96,,,
2024-01-13 00:18:56,25.7,37.3,533.2,266.6,106.64,,,
2024-01-13 00:18:58,25.7,37.3,532,266,106.4,,,
2024-01-13 00:19:01,25.7,37.2,530.6,265.3,106.12,,,
2024-01-13 00:19:03,25.7,37.3,529.3,264.65,105.86,,,
2024-01-13 00:19:05,25.7,37.2,528.1,264.05,105.62,,,
2024-01-13 00:19:07,25.7,37.2,526.6,263.3,105.32,,,
2024-01-13 00:19:10,25.7,37.2,525.6,262.8,105.12,,,
2024-01-13 00:19:12,25.6,37.2,525.3,262.65,105.06,,,
2024-01-13 00:19:14,25.7,37.2,524.1,262.05,104.82,,,
2024-01-13 00:19:16,25.6,37.2,522.3,261.15,104.46,,,
2024-01-13 00:19:19,25.6,37.2,521.5,260.75,104.3,,,
2024-01-13 00:19:23,25.6,37.3,516.1,258.05,103.22,,,
2024-01-13 00:19:28,25.6,37.3,517.6,258.8,103.52,,,
